transaction_id,pos
X2720210601126442,Магазин 3
X2720210601126443,Магазин 3
X2720210601126444,Магазин 3
X2720210601126445,Магазин 3
X2720210601126446,Магазин 3
X2720210601126447,Магазин 3
X2720210601126448,Магазин 3
X2720210601126449,Магазин 3
X2720210601126450,Магазин 3
X2720210601126451,Магазин 3
X2720210601126452,Магазин 3
X2720210601126453,Магазин 3
X2720210601126454,Магазин 3
X2720210601126455,Магазин 3
X2720210601126456,Магазин 3
X2720210601126457,Магазин 3
X2720210601126459,Магазин 3
X2720210601126460,Магазин 3
X2720210601126461,Магазин 3
X2720210601126462,Магазин 3
X2720210601126463,Магазин 3
X2720210601126464,Магазин 3
X2720210601126465,Магазин 3
X2720210601126466,Магазин 3
X2720210601126467,Магазин 3
X2720210601126468,Магазин 3
X2720210601126469,Магазин 3
X2720210601126470,Магазин 3
X2720210601126471,Магазин 3
X2720210601126472,Магазин 3
X2720210601126473,Магазин 3
X2720210601126474,Магазин 3
X2720210601126475,Магазин 3
X2720210601126476,Магазин 3
X2720210601126477,Магазин 3
X2720210601126478,Магазин 3
X2720210601126479,Магазин 3
X2720210601126480,Магазин 3
X2720210601126481,Магазин 3
X2720210601126482,Магазин 3
X2720210601126483,Магазин 3
X2720210601126484,Магазин 3
X2720210601126485,Магазин 3
X2720210601126486,Магазин 3
X2720210601126487,Магазин 3
X2720210601126488,Магазин 3
X2720210601126489,Магазин 3
X2720210601126491,Магазин 3
X2720210601126492,Магазин 3
X2720210601126493,Магазин 3
X2720210601126494,Магазин 3
X2720210601126495,Магазин 3
X2720210601126496,Магазин 3
X2720210601126497,Магазин 3
X2720210601126498,Магазин 3
X2720210601126499,Магазин 3
X27202106011411,Магазин 3
X2720210601467714,Магазин 3
X2720210601467715,Магазин 3
X2720210601467716,Магазин 3
X2720210601467717,Магазин 3
X2720210601467718,Магазин 3
X2720210601467719,Магазин 3
X2720210601467720,Магазин 3
X2720210601467721,Магазин 3
X2720210601467722,Магазин 3
X2720210601467723,Магазин 3
X2720210601467724,Магазин 3
X2720210601467725,Магазин 3
X2720210601467726,Магазин 3
X2720210601467727,Магазин 3
X2720210601467728,Магазин 3
X2720210601467729,Магазин 3
X2720210601467730,Магазин 3
X2720210601467731,Магазин 3
X2720210601467732,Магазин 3
X2720210601467733,Магазин 3
X2720210601467734,Магазин 3
X2720210601467735,Магазин 3
X2720210601467736,Магазин 3
X2720210601467737,Магазин 3
